Function,Algorithm,Best,Worst,Mean,Std,Median
F1,DE,3.184007e+10,9.108632e+10,5.195291e+10,1.488865e+10,5.142479e+10
F1,FPA,3.139449e+10,7.125416e+10,5.422219e+10,1.039667e+10,5.436576e+10
F1,GWO,3.338040e+09,1.889130e+10,1.026010e+10,4.136483e+09,9.577266e+09
F1,IFPOA-X,2.551595e+10,5.159363e+10,4.159525e+10,6.670338e+09,4.061612e+10
F1,L-SHADE,1.469456e+10,2.817040e+10,2.127999e+10,3.797506e+09,2.162288e+10
F1,PSO,1.513464e+10,5.549988e+10,2.973595e+10,9.730084e+09,2.802614e+10
F1,TPE,2.878053e+10,6.061752e+10,4.292629e+10,8.672946e+09,4.243828e+10
F1,WOA,3.493358e+10,7.191734e+10,5.705181e+10,9.803863e+09,5.665633e+10
F10,DE,2.909567e+08,5.486443e+09,2.015943e+09,1.611979e+09,1.928972e+09
F10,FPA,5.042992e+08,8.895710e+09,3.091636e+09,2.276634e+09,2.809241e+09
F10,GWO,2.603399e+05,2.707415e+08,2.378044e+07,6.079820e+07,2.236676e+06
F10,IFPOA-X,2.309415e+08,3.312983e+09,9.187406e+08,7.148793e+08,7.470840e+08
F10,L-SHADE,2.506067e+07,4.624204e+08,1.497850e+08,1.183712e+08,1.160800e+08
F10,PSO,4.876543e+06,2.566579e+08,9.289972e+07,7.295478e+07,8.306638e+07
F10,TPE,3.134496e+07,5.011048e+08,2.149254e+08,1.404622e+08,2.015044e+08
F10,WOA,3.748218e+08,5.791117e+09,2.690075e+09,1.614048e+09,3.049719e+09
F11,DE,1.839076e+09,1.249471e+10,6.176017e+09,2.938732e+09,5.713639e+09
F11,FPA,4.119357e+09,2.018825e+10,1.188698e+10,4.384437e+09,1.153538e+10
F11,GWO,1.229870e+08,2.610933e+09,6.120903e+08,6.984470e+08,3.250978e+08
F11,IFPOA-X,2.893038e+09,6.918327e+09,4.952922e+09,1.031819e+09,5.013700e+09
F11,L-SHADE,8.616475e+08,3.518489e+09,1.910408e+09,6.849442e+08,1.737778e+09
F11,PSO,7.726805e+08,6.015836e+09,1.954521e+09,1.116463e+09,1.785694e+09
F11,TPE,1.420632e+09,5.281858e+09,2.809215e+09,1.059365e+09,2.756098e+09
F11,WOA,4.596834e+09,1.711947e+10,1.053239e+10,3.787688e+09,9.944492e+09
F14,DE,6.884619e+08,8.602263e+09,3.129702e+09,2.171160e+09,2.332392e+09
F14,FPA,2.103987e+09,1.184188e+10,6.257651e+09,2.252648e+09,6.212752e+09
F14,GWO,8.369547e+06,1.558692e+09,1.414101e+08,3.469059e+08,3.146984e+07
F14,IFPOA-X,1.007205e+09,4.761005e+09,2.412226e+09,8.996516e+08,2.299966e+09
F14,L-SHADE,2.518282e+08,1.991390e+09,7.122877e+08,3.899347e+08,6.469281e+08
F14,PSO,8.756158e+07,1.419129e+09,5.448153e+08,4.292959e+08,3.805106e+08
F14,TPE,2.083374e+08,1.968784e+09,8.391642e+08,4.716895e+08,7.397578e+08
F14,WOA,4.020670e+08,1.379248e+10,5.475488e+09,3.238607e+09,4.553898e+09
F21,DE,6.555221e+02,3.447509e+03,1.579965e+03,7.723277e+02,1.312976e+03
F21,FPA,1.442715e+03,5.504819e+03,2.721156e+03,9.237261e+02,2.542088e+03
F21,GWO,2.659770e+02,6.754730e+02,3.649591e+02,9.014236e+01,3.406510e+02
F21,IFPOA-X,5.277403e+02,2.453323e+03,9.580491e+02,4.100203e+02,9.014826e+02
F21,L-SHADE,3.965739e+02,7.718017e+02,5.054776e+02,1.006677e+02,4.705481e+02
F21,PSO,4.681716e+02,2.736424e+03,8.894429e+02,5.614724e+02,6.869083e+02
F21,TPE,6.928176e+02,1.100280e+03,8.961885e+02,1.109189e+02,9.017715e+02
F21,WOA,1.446556e+03,5.217112e+03,3.178772e+03,1.179970e+03,3.092087e+03
F3,DE,4.145152e+03,1.776020e+04,9.968107e+03,3.331294e+03,9.901608e+03
F3,FPA,6.498714e+03,1.945482e+04,1.223772e+04,3.463850e+03,1.185894e+04
F3,GWO,4.921690e+02,2.840534e+03,1.381103e+03,6.775617e+02,1.335199e+03
F3,IFPOA-X,5.425143e+03,1.605280e+04,8.436897e+03,2.604763e+03,8.068224e+03
F3,L-SHADE,2.206401e+03,4.857712e+03,3.467632e+03,7.753296e+02,3.591775e+03
F3,PSO,2.873535e+03,1.183900e+04,4.974117e+03,2.302684e+03,4.488361e+03
F3,TPE,2.270543e+03,1.350890e+04,6.885670e+03,2.931068e+03,6.370324e+03
F3,WOA,8.277631e+03,2.988086e+04,1.772767e+04,5.171238e+03,1.868353e+04
F4,DE,3.144005e+04,1.147675e+05,6.101499e+04,1.970962e+04,5.407554e+04
F4,FPA,5.070484e+04,9.455344e+04,7.465642e+04,1.269007e+04,7.495518e+04
F4,GWO,4.343060e+03,3.570766e+04,1.477551e+04,7.783087e+03,1.277045e+04
F4,IFPOA-X,3.246273e+04,6.764585e+04,5.437032e+04,1.083302e+04,5.658812e+04
F4,L-SHADE,1.623109e+04,3.718315e+04,2.673702e+04,5.327602e+03,2.569280e+04
F4,PSO,1.852457e+04,7.803300e+04,3.583094e+04,1.427836e+04,3.153814e+04
F4,TPE,3.347784e+04,6.640784e+04,4.990286e+04,1.025984e+04,5.295426e+04
F4,WOA,4.468075e+04,1.004986e+05,7.962514e+04,1.272420e+04,8.116663e+04
F5,DE,1.104186e-02,5.607692e-02,3.354735e-02,1.304648e-02,3.259439e-02
F5,FPA,1.985698e-02,6.795709e-02,4.337345e-02,1.282606e-02,4.316069e-02
F5,GWO,4.256901e-03,6.425890e-02,2.847643e-02,1.885184e-02,2.363167e-02
F5,IFPOA-X,2.435135e-02,7.667525e-02,5.392867e-02,1.378346e-02,5.313632e-02
F5,L-SHADE,2.353224e-02,8.522170e-02,5.495076e-02,1.587584e-02,5.751907e-02
F5,PSO,9.023794e-03,5.589544e-02,2.850219e-02,1.178321e-02,2.436050e-02
F5,TPE,1.526637e-02,4.815689e-02,2.930619e-02,9.167291e-03,3.110542e-02
F5,WOA,2.458233e-02,7.566119e-02,5.181266e-02,1.561570e-02,5.170334e-02
F7,DE,5.090722e+02,8.400675e+02,6.651338e+02,9.972322e+01,6.812096e+02
F7,FPA,5.310474e+02,8.097149e+02,6.540494e+02,8.483453e+01,6.347205e+02
F7,GWO,4.313549e+02,7.295371e+02,5.729838e+02,8.024236e+01,5.874982e+02
F7,IFPOA-X,6.221000e+02,8.764066e+02,7.328082e+02,6.850901e+01,7.474652e+02
F7,L-SHADE,5.903538e+02,7.748039e+02,6.616786e+02,6.079061e+01,6.456522e+02
F7,PSO,4.353001e+02,8.078468e+02,6.361138e+02,9.785792e+01,6.458013e+02
F7,TPE,5.389183e+02,8.382386e+02,6.569961e+02,7.696529e+01,6.335293e+02
F7,WOA,6.843725e+02,1.219076e+03,8.560119e+02,1.435269e+02,8.318163e+02
F9,DE,7.344016e+03,8.959181e+03,8.305651e+03,4.376405e+02,8.370937e+03
F9,FPA,6.576921e+03,8.974563e+03,7.968447e+03,5.661983e+02,7.951391e+03
F9,GWO,7.008325e+03,9.234031e+03,8.333027e+03,5.148049e+02,8.283322e+03
F9,IFPOA-X,6.731602e+03,8.903806e+03,8.135059e+03,5.996593e+02,8.305132e+03
F9,L-SHADE,7.598575e+03,9.006405e+03,8.546645e+03,4.006282e+02,8.625927e+03
F9,PSO,5.846095e+03,8.978574e+03,7.524427e+03,6.821666e+02,7.574371e+03
F9,TPE,7.574359e+03,8.885351e+03,8.320597e+03,3.924405e+02,8.440247e+03
F9,WOA,6.367119e+03,9.025964e+03,7.769035e+03,6.099423e+02,7.838825e+03
