Function,Algorithm,Run,Best
F1,IFPOA-X,1,2.805321e+04
F1,IFPOA-X,2,2.924338e+04
F1,IFPOA-X,3,3.810286e+04
F1,IFPOA-X,4,4.044251e+04
F1,IFPOA-X,5,3.268133e+04
F1,IFPOA-X,6,2.274048e+04
F1,IFPOA-X,7,3.349937e+04
F1,IFPOA-X,8,3.776438e+04
F1,IFPOA-X,9,3.454581e+04
F1,IFPOA-X,10,2.831034e+04
F1,IFPOA-X,11,2.647592e+04
F1,IFPOA-X,12,3.593870e+04
F1,IFPOA-X,13,4.013652e+04
F1,IFPOA-X,14,3.096931e+04
F1,IFPOA-X,15,2.744027e+04
F1,FPA,1,3.979604e+04
F1,FPA,2,4.537447e+04
F1,FPA,3,3.691307e+04
F1,FPA,4,5.465655e+04
F1,FPA,5,4.434274e+04
F1,FPA,6,2.556676e+04
F1,FPA,7,3.479995e+04
F1,FPA,8,3.685745e+04
F1,FPA,9,4.142473e+04
F1,FPA,10,3.439318e+04
F1,FPA,11,3.938948e+04
F1,FPA,12,4.834943e+04
F1,FPA,13,3.803717e+04
F1,FPA,14,5.459144e+04
F1,FPA,15,3.829776e+04
F1,PSO,1,1.096388e+04
F1,PSO,2,3.336303e+04
F1,PSO,3,2.109104e+04
F1,PSO,4,2.769947e+04
F1,PSO,5,2.466262e+04
F1,PSO,6,1.966608e+04
F1,PSO,7,2.613916e+04
F1,PSO,8,2.728868e+04
F1,PSO,9,2.232313e+04
F1,PSO,10,1.923707e+04
F1,PSO,11,1.777490e+04
F1,PSO,12,2.364380e+04
F1,PSO,13,1.718210e+04
F1,PSO,14,2.451288e+04
F1,PSO,15,1.445288e+04
F1,DE,1,5.387316e+04
F1,DE,2,5.051822e+04
F1,DE,3,3.530655e+04
F1,DE,4,3.492464e+04
F1,DE,5,3.751236e+04
F1,DE,6,3.256669e+04
F1,DE,7,3.557210e+04
F1,DE,8,2.094611e+04
F1,DE,9,5.111787e+04
F1,DE,10,3.029726e+04
F1,DE,11,2.405103e+04
F1,DE,12,3.990429e+04
F1,DE,13,6.073650e+04
F1,DE,14,3.011578e+04
F1,DE,15,4.251508e+04
F1,L-SHADE,1,2.190502e+04
F1,L-SHADE,2,1.507213e+04
F1,L-SHADE,3,1.772334e+04
F1,L-SHADE,4,2.032042e+04
F1,L-SHADE,5,1.972702e+04
F1,L-SHADE,6,1.995445e+04
F1,L-SHADE,7,2.465995e+04
F1,L-SHADE,8,1.463818e+04
F1,L-SHADE,9,1.759638e+04
F1,L-SHADE,10,2.071682e+04
F1,L-SHADE,11,1.442247e+04
F1,L-SHADE,12,1.163229e+04
F1,L-SHADE,13,2.010602e+04
F1,L-SHADE,14,2.167011e+04
F1,L-SHADE,15,1.814320e+04
F1,GWO,1,5.483042e+03
F1,GWO,2,1.643861e+04
F1,GWO,3,1.088027e+04
F1,GWO,4,1.335258e+04
F1,GWO,5,1.622433e+04
F1,GWO,6,1.757323e+04
F1,GWO,7,1.091561e+04
F1,GWO,8,8.024804e+03
F1,GWO,9,8.095740e+03
F1,GWO,10,6.932927e+03
F1,GWO,11,1.477148e+04
F1,GWO,12,1.513331e+04
F1,GWO,13,1.488924e+04
F1,GWO,14,1.146185e+04
F1,GWO,15,1.295715e+04
F1,WOA,1,4.466293e+04
F1,WOA,2,4.316571e+04
F1,WOA,3,4.483869e+04
F1,WOA,4,4.065357e+04
F1,WOA,5,4.533621e+04
F1,WOA,6,5.120209e+04
F1,WOA,7,5.231306e+04
F1,WOA,8,4.756138e+04
F1,WOA,9,5.078869e+04
F1,WOA,10,3.945479e+04
F1,WOA,11,4.296702e+04
F1,WOA,12,5.738705e+04
F1,WOA,13,5.756469e+04
F1,WOA,14,4.984184e+04
F1,WOA,15,4.375030e+04
F1,TPE,1,2.760532e+04
F1,TPE,2,2.525704e+04
F1,TPE,3,3.077493e+04
F1,TPE,4,2.415396e+04
F1,TPE,5,2.488221e+04
F1,TPE,6,3.454654e+04
F1,TPE,7,4.088340e+04
F1,TPE,8,3.233574e+04
F1,TPE,9,3.129270e+04
F1,TPE,10,3.524036e+04
F1,TPE,11,2.552869e+04
F1,TPE,12,3.097403e+04
F1,TPE,13,2.003868e+04
F1,TPE,14,3.230642e+04
F1,TPE,15,3.011915e+04
F2,IFPOA-X,1,2.836937e+03
F2,IFPOA-X,2,5.027732e+05
F2,IFPOA-X,3,1.649004e+02
F2,IFPOA-X,4,4.314467e+05
F2,IFPOA-X,5,3.165227e+05
F2,IFPOA-X,6,2.045356e+08
F2,IFPOA-X,7,5.269368e+06
F2,IFPOA-X,8,5.357188e+04
F2,IFPOA-X,9,7.393693e+02
F2,IFPOA-X,10,4.048057e+05
F2,IFPOA-X,11,3.123191e+05
F2,IFPOA-X,12,1.250186e+05
F2,IFPOA-X,13,5.927038e+03
F2,IFPOA-X,14,2.233723e+06
F2,IFPOA-X,15,2.931408e+07
F2,FPA,1,2.210038e+10
F2,FPA,2,6.749092e+07
F2,FPA,3,4.052612e+06
F2,FPA,4,5.409789e+05
F2,FPA,5,5.356657e+08
F2,FPA,6,2.270104e+06
F2,FPA,7,4.439281e+09
F2,FPA,8,4.206076e+08
F2,FPA,9,1.008642e+05
F2,FPA,10,1.596033e+04
F2,FPA,11,2.149801e+07
F2,FPA,12,3.794880e+05
F2,FPA,13,6.287580e+06
F2,FPA,14,1.065236e+09
F2,FPA,15,1.334780e+07
F2,PSO,1,4.937065e+08
F2,PSO,2,8.063461e+04
F2,PSO,3,1.255003e+02
F2,PSO,4,1.111025e+02
F2,PSO,5,3.538893e+04
F2,PSO,6,2.403473e+03
F2,PSO,7,3.880686e+03
F2,PSO,8,9.830854e+01
F2,PSO,9,9.413539e+01
F2,PSO,10,1.474371e+02
F2,PSO,11,2.772936e+02
F2,PSO,12,4.863671e+04
F2,PSO,13,1.525823e+04
F2,PSO,14,9.692148e+01
F2,PSO,15,1.680074e+02
F2,DE,1,7.987053e+01
F2,DE,2,8.991853e+01
F2,DE,3,1.092047e+02
F2,DE,4,9.832977e+01
F2,DE,5,8.728922e+01
F2,DE,6,9.211601e+01
F2,DE,7,6.789895e+01
F2,DE,8,7.561721e+01
F2,DE,9,1.158749e+02
F2,DE,10,6.149221e+01
F2,DE,11,9.454975e+01
F2,DE,12,1.078534e+02
F2,DE,13,1.030757e+02
F2,DE,14,9.639197e+01
F2,DE,15,8.141970e+01
F2,L-SHADE,1,5.169440e+02
F2,L-SHADE,2,7.415017e+01
F2,L-SHADE,3,3.300457e+02
F2,L-SHADE,4,2.360025e+02
F2,L-SHADE,5,5.509296e+02
F2,L-SHADE,6,1.251313e+03
F2,L-SHADE,7,1.374137e+05
F2,L-SHADE,8,3.840358e+03
F2,L-SHADE,9,8.020864e+01
F2,L-SHADE,10,2.700128e+04
F2,L-SHADE,11,6.884777e+02
F2,L-SHADE,12,5.598798e+03
F2,L-SHADE,13,1.713652e+03
F2,L-SHADE,14,3.713919e+04
F2,L-SHADE,15,3.327651e+02
F2,GWO,1,7.542498e+01
F2,GWO,2,8.786118e+01
F2,GWO,3,8.643111e+01
F2,GWO,4,8.877393e+01
F2,GWO,5,6.449447e+01
F2,GWO,6,8.013072e+01
F2,GWO,7,9.214282e+01
F2,GWO,8,8.936892e+02
F2,GWO,9,7.609151e+01
F2,GWO,10,9.708095e+01
F2,GWO,11,7.340777e+01
F2,GWO,12,9.186972e+01
F2,GWO,13,1.032027e+02
F2,GWO,14,9.744800e+01
F2,GWO,15,8.008331e+01
F2,WOA,1,2.776204e+05
F2,WOA,2,2.169360e+02
F2,WOA,3,2.843248e+04
F2,WOA,4,3.228903e+03
F2,WOA,5,2.431598e+04
F2,WOA,6,8.968829e+02
F2,WOA,7,1.212725e+02
F2,WOA,8,8.081786e+02
F2,WOA,9,9.663033e+07
F2,WOA,10,4.761022e+02
F2,WOA,11,2.469385e+02
F2,WOA,12,1.682582e+06
F2,WOA,13,1.946304e+03
F2,WOA,14,7.233704e+05
F2,WOA,15,1.350687e+07
F2,TPE,1,8.373635e+01
F2,TPE,2,8.540005e+03
F2,TPE,3,7.771461e+01
F2,TPE,4,1.818370e+02
F2,TPE,5,9.094224e+01
F2,TPE,6,8.199402e+01
F2,TPE,7,1.299131e+02
F2,TPE,8,1.032754e+02
F2,TPE,9,8.212436e+02
F2,TPE,10,8.144410e+01
F2,TPE,11,9.042481e+01
F2,TPE,12,9.175247e+01
F2,TPE,13,8.262428e+03
F2,TPE,14,3.038900e+02
F2,TPE,15,1.274256e+02
F3,IFPOA-X,1,1.391864e+05
F3,IFPOA-X,2,9.665467e+04
F3,IFPOA-X,3,1.031360e+05
F3,IFPOA-X,4,8.295817e+04
F3,IFPOA-X,5,8.958452e+04
F3,IFPOA-X,6,6.021377e+04
F3,IFPOA-X,7,5.508812e+04
F3,IFPOA-X,8,9.331820e+04
F3,IFPOA-X,9,1.061301e+05
F3,IFPOA-X,10,7.890955e+04
F3,IFPOA-X,11,1.096377e+05
F3,IFPOA-X,12,1.004300e+05
F3,IFPOA-X,13,6.804783e+04
F3,IFPOA-X,14,1.184982e+05
F3,IFPOA-X,15,1.207880e+05
F3,FPA,1,1.617110e+05
F3,FPA,2,1.088656e+05
F3,FPA,3,9.289917e+04
F3,FPA,4,1.356171e+05
F3,FPA,5,1.527074e+05
F3,FPA,6,9.520991e+04
F3,FPA,7,8.677188e+04
F3,FPA,8,6.310661e+04
F3,FPA,9,9.455646e+04
F3,FPA,10,5.826924e+04
F3,FPA,11,1.016210e+05
F3,FPA,12,5.657476e+04
F3,FPA,13,7.634333e+04
F3,FPA,14,9.010346e+04
F3,FPA,15,1.133347e+05
F3,PSO,1,6.112715e+04
F3,PSO,2,3.648608e+04
F3,PSO,3,8.676043e+04
F3,PSO,4,7.760163e+04
F3,PSO,5,7.337498e+04
F3,PSO,6,4.768250e+04
F3,PSO,7,3.893280e+04
F3,PSO,8,5.739565e+04
F3,PSO,9,6.509694e+04
F3,PSO,10,6.641045e+04
F3,PSO,11,4.076824e+04
F3,PSO,12,4.662818e+04
F3,PSO,13,2.634460e+04
F3,PSO,14,6.053701e+04
F3,PSO,15,6.637944e+04
F3,DE,1,7.652285e+04
F3,DE,2,8.850960e+04
F3,DE,3,4.604291e+04
F3,DE,4,9.192916e+04
F3,DE,5,8.242793e+04
F3,DE,6,7.297402e+04
F3,DE,7,9.828645e+04
F3,DE,8,1.092304e+05
F3,DE,9,1.203948e+05
F3,DE,10,8.032779e+04
F3,DE,11,6.313757e+04
F3,DE,12,7.599217e+04
F3,DE,13,8.339642e+04
F3,DE,14,9.126010e+04
F3,DE,15,6.946019e+04
F3,L-SHADE,1,1.220202e+05
F3,L-SHADE,2,7.045372e+04
F3,L-SHADE,3,5.589326e+04
F3,L-SHADE,4,7.798854e+04
F3,L-SHADE,5,6.353319e+04
F3,L-SHADE,6,5.979927e+04
F3,L-SHADE,7,5.997959e+04
F3,L-SHADE,8,6.501773e+04
F3,L-SHADE,9,6.300579e+04
F3,L-SHADE,10,8.203164e+04
F3,L-SHADE,11,5.478762e+04
F3,L-SHADE,12,7.493497e+04
F3,L-SHADE,13,5.770640e+04
F3,L-SHADE,14,4.859462e+04
F3,L-SHADE,15,5.744983e+04
F3,GWO,1,4.020866e+04
F3,GWO,2,6.053284e+04
F3,GWO,3,3.699033e+04
F3,GWO,4,3.486871e+04
F3,GWO,5,5.024840e+04
F3,GWO,6,3.762064e+04
F3,GWO,7,4.884476e+04
F3,GWO,8,6.538793e+04
F3,GWO,9,5.564235e+04
F3,GWO,10,4.345443e+04
F3,GWO,11,3.453418e+04
F3,GWO,12,4.921879e+04
F3,GWO,13,3.829474e+04
F3,GWO,14,5.760045e+04
F3,GWO,15,4.080786e+04
F3,WOA,1,3.257335e+05
F3,WOA,2,1.965792e+05
F3,WOA,3,6.661855e+04
F3,WOA,4,1.570206e+05
F3,WOA,5,2.212596e+05
F3,WOA,6,1.876262e+05
F3,WOA,7,1.526251e+05
F3,WOA,8,2.987830e+05
F3,WOA,9,1.888635e+05
F3,WOA,10,1.156060e+05
F3,WOA,11,1.220153e+05
F3,WOA,12,2.011575e+05
F3,WOA,13,1.395521e+05
F3,WOA,14,2.570132e+05
F3,WOA,15,3.167847e+05
F3,TPE,1,3.706504e+04
F3,TPE,2,6.351109e+04
F3,TPE,3,5.692689e+04
F3,TPE,4,6.322336e+04
F3,TPE,5,7.198026e+04
F3,TPE,6,5.098432e+04
F3,TPE,7,6.738289e+04
F3,TPE,8,6.585643e+04
F3,TPE,9,5.720095e+04
F3,TPE,10,6.615356e+04
F3,TPE,11,3.807391e+04
F3,TPE,12,3.246350e+04
F3,TPE,13,5.720470e+04
F3,TPE,14,6.527731e+04
F3,TPE,15,8.562670e+04
F4,IFPOA-X,1,6.812521e+01
F4,IFPOA-X,2,5.834824e+01
F4,IFPOA-X,3,7.320936e+01
F4,IFPOA-X,4,6.566102e+01
F4,IFPOA-X,5,6.243858e+01
F4,IFPOA-X,6,6.891890e+01
F4,IFPOA-X,7,8.049430e+01
F4,IFPOA-X,8,8.664879e+01
F4,IFPOA-X,9,7.582409e+01
F4,IFPOA-X,10,6.470656e+01
F4,IFPOA-X,11,7.981217e+01
F4,IFPOA-X,12,6.291512e+01
F4,IFPOA-X,13,9.276745e+01
F4,IFPOA-X,14,6.107925e+01
F4,IFPOA-X,15,6.258359e+01
F4,FPA,1,7.076209e+01
F4,FPA,2,7.052271e+01
F4,FPA,3,5.849940e+01
F4,FPA,4,6.542840e+01
F4,FPA,5,8.043909e+01
F4,FPA,6,8.260443e+01
F4,FPA,7,7.431416e+01
F4,FPA,8,7.075662e+01
F4,FPA,9,6.880255e+01
F4,FPA,10,8.309586e+01
F4,FPA,11,7.485129e+01
F4,FPA,12,7.602439e+01
F4,FPA,13,6.204588e+01
F4,FPA,14,8.365088e+01
F4,FPA,15,6.928445e+01
F4,PSO,1,7.244246e+01
F4,PSO,2,6.805130e+01
F4,PSO,3,6.440386e+01
F4,PSO,4,6.462424e+01
F4,PSO,5,5.663655e+01
F4,PSO,6,6.643651e+01
F4,PSO,7,5.506517e+01
F4,PSO,8,6.517634e+01
F4,PSO,9,6.175758e+01
F4,PSO,10,6.750680e+01
F4,PSO,11,6.868942e+01
F4,PSO,12,5.951631e+01
F4,PSO,13,6.712744e+01
F4,PSO,14,6.213756e+01
F4,PSO,15,6.549099e+01
F4,DE,1,9.796102e+01
F4,DE,2,1.067483e+02
F4,DE,3,9.646038e+01
F4,DE,4,9.903086e+01
F4,DE,5,9.441250e+01
F4,DE,6,1.060020e+02
F4,DE,7,9.505348e+01
F4,DE,8,7.985241e+01
F4,DE,9,9.943433e+01
F4,DE,10,1.030797e+02
F4,DE,11,7.580167e+01
F4,DE,12,9.286607e+01
F4,DE,13,9.672103e+01
F4,DE,14,1.083935e+02
F4,DE,15,7.478491e+01
F4,L-SHADE,1,7.768742e+01
F4,L-SHADE,2,6.167636e+01
F4,L-SHADE,3,7.910084e+01
F4,L-SHADE,4,7.656626e+01
F4,L-SHADE,5,7.427490e+01
F4,L-SHADE,6,7.574702e+01
F4,L-SHADE,7,7.314929e+01
F4,L-SHADE,8,7.178967e+01
F4,L-SHADE,9,7.252206e+01
F4,L-SHADE,10,7.491917e+01
F4,L-SHADE,11,6.710419e+01
F4,L-SHADE,12,5.996723e+01
F4,L-SHADE,13,5.174155e+01
F4,L-SHADE,14,8.373276e+01
F4,L-SHADE,15,7.619969e+01
F4,GWO,1,6.286649e+01
F4,GWO,2,5.579891e+01
F4,GWO,3,5.267727e+01
F4,GWO,4,5.680737e+01
F4,GWO,5,6.051017e+01
F4,GWO,6,6.371186e+01
F4,GWO,7,4.378674e+01
F4,GWO,8,4.795356e+01
F4,GWO,9,5.815264e+01
F4,GWO,10,6.623699e+01
F4,GWO,11,6.004468e+01
F4,GWO,12,5.883336e+01
F4,GWO,13,6.450654e+01
F4,GWO,14,5.966778e+01
F4,GWO,15,6.262522e+01
F4,WOA,1,1.227360e+02
F4,WOA,2,9.056320e+01
F4,WOA,3,1.029348e+02
F4,WOA,4,1.065990e+02
F4,WOA,5,1.042420e+02
F4,WOA,6,9.131963e+01
F4,WOA,7,9.674199e+01
F4,WOA,8,8.355774e+01
F4,WOA,9,1.247980e+02
F4,WOA,10,1.185707e+02
F4,WOA,11,1.319718e+02
F4,WOA,12,8.763401e+01
F4,WOA,13,1.069249e+02
F4,WOA,14,1.149689e+02
F4,WOA,15,1.069984e+02
F4,TPE,1,7.438499e+01
F4,TPE,2,5.883145e+01
F4,TPE,3,6.700095e+01
F4,TPE,4,7.458441e+01
F4,TPE,5,8.466906e+01
F4,TPE,6,7.766672e+01
F4,TPE,7,7.022732e+01
F4,TPE,8,7.403018e+01
F4,TPE,9,5.728930e+01
F4,TPE,10,5.700590e+01
F4,TPE,11,6.884248e+01
F4,TPE,12,5.490614e+01
F4,TPE,13,5.572230e+01
F4,TPE,14,7.550750e+01
F4,TPE,15,5.924318e+01
F5,IFPOA-X,1,8.901966e+07
F5,IFPOA-X,2,1.280491e+08
F5,IFPOA-X,3,8.770616e+07
F5,IFPOA-X,4,9.659562e+07
F5,IFPOA-X,5,1.219071e+08
F5,IFPOA-X,6,1.260721e+08
F5,IFPOA-X,7,9.851925e+07
F5,IFPOA-X,8,7.606189e+07
F5,IFPOA-X,9,9.657265e+07
F5,IFPOA-X,10,1.221659e+08
F5,IFPOA-X,11,8.574667e+07
F5,IFPOA-X,12,6.890636e+07
F5,IFPOA-X,13,4.194525e+07
F5,IFPOA-X,14,1.408586e+08
F5,IFPOA-X,15,1.091763e+08
F5,FPA,1,1.305405e+08
F5,FPA,2,1.042213e+08
F5,FPA,3,1.141355e+08
F5,FPA,4,1.606586e+08
F5,FPA,5,8.922027e+07
F5,FPA,6,1.229717e+08
F5,FPA,7,8.617625e+07
F5,FPA,8,9.662150e+07
F5,FPA,9,1.116141e+08
F5,FPA,10,1.278579e+08
F5,FPA,11,1.164301e+08
F5,FPA,12,8.079054e+07
F5,FPA,13,1.224128e+08
F5,FPA,14,1.896908e+08
F5,FPA,15,1.425653e+08
F5,PSO,1,4.689507e+07
F5,PSO,2,5.720947e+07
F5,PSO,3,7.118799e+07
F5,PSO,4,5.535964e+07
F5,PSO,5,2.937739e+07
F5,PSO,6,3.490926e+07
F5,PSO,7,5.789543e+07
F5,PSO,8,7.189555e+07
F5,PSO,9,1.586528e+07
F5,PSO,10,2.450110e+07
F5,PSO,11,1.611147e+07
F5,PSO,12,5.046655e+07
F5,PSO,13,5.736740e+07
F5,PSO,14,4.507213e+07
F5,PSO,15,6.650138e+07
F5,DE,1,1.544112e+08
F5,DE,2,1.187638e+08
F5,DE,3,1.520376e+08
F5,DE,4,1.483214e+08
F5,DE,5,9.015285e+07
F5,DE,6,1.160569e+08
F5,DE,7,1.508050e+08
F5,DE,8,7.613230e+07
F5,DE,9,1.732428e+08
F5,DE,10,1.547351e+08
F5,DE,11,1.450147e+08
F5,DE,12,1.909179e+08
F5,DE,13,1.525655e+08
F5,DE,14,2.436641e+08
F5,DE,15,9.330882e+07
F5,L-SHADE,1,1.264352e+07
F5,L-SHADE,2,2.618598e+07
F5,L-SHADE,3,1.306783e+07
F5,L-SHADE,4,2.062267e+07
F5,L-SHADE,5,6.587910e+07
F5,L-SHADE,6,1.451754e+07
F5,L-SHADE,7,4.380143e+07
F5,L-SHADE,8,4.657593e+07
F5,L-SHADE,9,2.328202e+07
F5,L-SHADE,10,4.520707e+07
F5,L-SHADE,11,2.758169e+07
F5,L-SHADE,12,2.670266e+07
F5,L-SHADE,13,3.970646e+07
F5,L-SHADE,14,3.899256e+07
F5,L-SHADE,15,3.143411e+07
F5,GWO,1,8.212949e+06
F5,GWO,2,2.218143e+07
F5,GWO,3,1.871626e+07
F5,GWO,4,1.521104e+07
F5,GWO,5,2.998489e+07
F5,GWO,6,1.640331e+07
F5,GWO,7,1.436982e+07
F5,GWO,8,1.174209e+07
F5,GWO,9,1.752170e+07
F5,GWO,10,1.421393e+07
F5,GWO,11,1.696864e+07
F5,GWO,12,1.321356e+07
F5,GWO,13,1.566365e+07
F5,GWO,14,7.344557e+06
F5,GWO,15,4.784985e+07
F5,WOA,1,1.002807e+08
F5,WOA,2,1.432366e+08
F5,WOA,3,1.567468e+08
F5,WOA,4,1.250030e+08
F5,WOA,5,1.427983e+08
F5,WOA,6,1.605490e+08
F5,WOA,7,1.280899e+08
F5,WOA,8,1.742012e+08
F5,WOA,9,1.641906e+08
F5,WOA,10,1.549180e+08
F5,WOA,11,1.714385e+08
F5,WOA,12,1.492326e+08
F5,WOA,13,9.665397e+07
F5,WOA,14,6.741773e+07
F5,WOA,15,1.593843e+08
F5,TPE,1,1.010715e+08
F5,TPE,2,4.422189e+07
F5,TPE,3,6.666863e+07
F5,TPE,4,6.718332e+07
F5,TPE,5,9.225168e+07
F5,TPE,6,3.984876e+07
F5,TPE,7,5.860022e+07
F5,TPE,8,3.930319e+07
F5,TPE,9,1.750346e+08
F5,TPE,10,4.876929e+07
F5,TPE,11,2.970846e+07
F5,TPE,12,8.418537e+07
F5,TPE,13,7.309500e+07
F5,TPE,14,5.221441e+07
F5,TPE,15,3.869744e+07
F6,IFPOA-X,1,3.759800e+04
F6,IFPOA-X,2,3.624800e+04
F6,IFPOA-X,3,2.852600e+04
F6,IFPOA-X,4,3.232600e+04
F6,IFPOA-X,5,3.973300e+04
F6,IFPOA-X,6,3.108700e+04
F6,IFPOA-X,7,4.774700e+04
F6,IFPOA-X,8,4.516700e+04
F6,IFPOA-X,9,3.060000e+04
F6,IFPOA-X,10,3.944000e+04
F6,IFPOA-X,11,3.019000e+04
F6,IFPOA-X,12,3.553100e+04
F6,IFPOA-X,13,3.662000e+04
F6,IFPOA-X,14,2.718800e+04
F6,IFPOA-X,15,3.603100e+04
F6,FPA,1,4.687800e+04
F6,FPA,2,5.803100e+04
F6,FPA,3,4.440400e+04
F6,FPA,4,4.132000e+04
F6,FPA,5,4.447000e+04
F6,FPA,6,3.883200e+04
F6,FPA,7,5.560400e+04
F6,FPA,8,5.334800e+04
F6,FPA,9,4.714300e+04
F6,FPA,10,4.423500e+04
F6,FPA,11,3.783000e+04
F6,FPA,12,4.675200e+04
F6,FPA,13,5.021100e+04
F6,FPA,14,4.750300e+04
F6,FPA,15,5.154900e+04
F6,PSO,1,1.192100e+04
F6,PSO,2,2.600900e+04
F6,PSO,3,1.826400e+04
F6,PSO,4,2.196500e+04
F6,PSO,5,2.982100e+04
F6,PSO,6,2.741900e+04
F6,PSO,7,2.063300e+04
F6,PSO,8,2.301400e+04
F6,PSO,9,3.171900e+04
F6,PSO,10,2.245800e+04
F6,PSO,11,3.073100e+04
F6,PSO,12,2.871800e+04
F6,PSO,13,2.701200e+04
F6,PSO,14,2.119100e+04
F6,PSO,15,2.234200e+04
F6,DE,1,5.066600e+04
F6,DE,2,4.738200e+04
F6,DE,3,4.901500e+04
F6,DE,4,1.801700e+04
F6,DE,5,4.122200e+04
F6,DE,6,5.233400e+04
F6,DE,7,5.190800e+04
F6,DE,8,4.046400e+04
F6,DE,9,5.122300e+04
F6,DE,10,3.413300e+04
F6,DE,11,3.905700e+04
F6,DE,12,2.190300e+04
F6,DE,13,3.033300e+04
F6,DE,14,3.743500e+04
F6,DE,15,3.941000e+04
F6,L-SHADE,1,1.461500e+04
F6,L-SHADE,2,2.124500e+04
F6,L-SHADE,3,1.916100e+04
F6,L-SHADE,4,2.607900e+04
F6,L-SHADE,5,1.647400e+04
F6,L-SHADE,6,1.871200e+04
F6,L-SHADE,7,1.449500e+04
F6,L-SHADE,8,1.466700e+04
F6,L-SHADE,9,2.271500e+04
F6,L-SHADE,10,1.321000e+04
F6,L-SHADE,11,1.628900e+04
F6,L-SHADE,12,1.207400e+04
F6,L-SHADE,13,1.324000e+04
F6,L-SHADE,14,1.859500e+04
F6,L-SHADE,15,1.747700e+04
F6,GWO,1,1.180400e+04
F6,GWO,2,1.312900e+04
F6,GWO,3,5.605000e+03
F6,GWO,4,1.407100e+04
F6,GWO,5,1.565600e+04
F6,GWO,6,1.231400e+04
F6,GWO,7,1.065400e+04
F6,GWO,8,9.883000e+03
F6,GWO,9,8.533000e+03
F6,GWO,10,6.874000e+03
F6,GWO,11,1.209200e+04
F6,GWO,12,1.163300e+04
F6,GWO,13,4.147000e+03
F6,GWO,14,7.754000e+03
F6,GWO,15,1.191500e+04
F6,WOA,1,4.864600e+04
F6,WOA,2,3.801400e+04
F6,WOA,3,4.656900e+04
F6,WOA,4,4.960400e+04
F6,WOA,5,4.614200e+04
F6,WOA,6,4.126600e+04
F6,WOA,7,5.383300e+04
F6,WOA,8,4.949500e+04
F6,WOA,9,4.681900e+04
F6,WOA,10,4.806400e+04
F6,WOA,11,4.466900e+04
F6,WOA,12,2.919700e+04
F6,WOA,13,3.623800e+04
F6,WOA,14,3.715100e+04
F6,WOA,15,2.873400e+04
F6,TPE,1,2.855200e+04
F6,TPE,2,3.414000e+04
F6,TPE,3,4.216500e+04
F6,TPE,4,3.475600e+04
F6,TPE,5,4.930200e+04
F6,TPE,6,3.525100e+04
F6,TPE,7,3.332700e+04
F6,TPE,8,1.354000e+04
F6,TPE,9,4.081900e+04
F6,TPE,10,2.475900e+04
F6,TPE,11,3.670100e+04
F6,TPE,12,2.965800e+04
F6,TPE,13,2.823100e+04
F6,TPE,14,2.574800e+04
F6,TPE,15,2.474400e+04
F7,IFPOA-X,1,7.007825e+01
F7,IFPOA-X,2,2.646925e+01
F7,IFPOA-X,3,4.008848e+01
F7,IFPOA-X,4,3.860412e+01
F7,IFPOA-X,5,3.302994e+01
F7,IFPOA-X,6,4.209064e+01
F7,IFPOA-X,7,6.774330e+01
F7,IFPOA-X,8,6.005866e+01
